,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Mean (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable,P. Confirmed
2962,3.38,2.61,0.19,0.5,1.14,731.4,0.6,-23.87,4.96,18.87,0.1414,0.0,0.14,0.0,1.06,1.09,5975.0,1.358609,19.1261,38.3186,-31.3,4.1087,1.0,0.0,0.864,2.026,-2.24,2.42,-0.92,0.23,0.24,0.0,0.0,1.0
2963,12.15,2.08,1.34,2.8,2.41,739.5,16.3,-23.42,3.96,17.14,0.1318,0.0,0.13,0.0,1.04,1.06,5913.0,1.232348,18.8736,43.148,-31.4,4.288,1.0,0.0,0.826,1.94,-2.25,-0.13,-0.01,0.31,0.27,0.0,0.0,1.0
2964,6.4,1.77,1.16,2.05,1.9,1286.7,7.4,-25.49,3.36,3.79,0.0492,0.0,0.05,0.0,1.11,1.16,6012.0,1.577182,19.8951,47.9468,-33.8,12.5812,1.0,0.0,0.929,2.177,-2.41,-0.14,-0.7,0.28,0.27,0.0,0.0,1.0
2965,2.3,1.33,0.97,1.29,1.31,605.6,2.2,-21.58,2.53,10.46,0.0854,0.0,0.09,0.0,0.76,0.72,4730.0,0.232809,19.0,49.48,-30.5,4.4945,1.0,0.0,0.382,0.935,-2.07,-0.16,-0.7,0.31,0.33,0.0,0.0,1.0
2966,3.59,1.51,1.04,1.57,1.54,871.3,3.7,-23.44,2.87,5.6,0.0584,0.0,0.06,0.0,0.85,0.81,5308.0,0.467287,19.4439,48.0093,-32.1,7.3903,1.0,0.0,0.527,1.26,-2.28,-0.15,-0.72,0.29,0.29,0.0,0.0,1.0
2967,20.8,2.36,1.58,3.72,2.97,546.2,32.8,-22.38,4.49,25.2,0.1599,0.0,0.16,0.0,0.86,0.83,5438.0,0.540509,18.8094,43.8966,-30.1,2.7656,1.0,0.0,0.563,1.339,-2.04,-0.12,0.72,0.32,0.3,0.0,0.0,1.0
2968,2.23,1.32,0.97,1.28,1.3,1429.4,2.2,-25.31,2.51,2.83,0.0402,0.0,0.04,0.0,1.08,1.21,5908.0,1.600378,19.2097,51.2756,-34.3,16.0976,1.0,0.0,0.942,2.212,-2.42,-0.16,-1.07,0.27,0.29,0.0,0.0,1.0
2969,3.59,1.51,1.04,1.57,1.54,674.5,3.7,-22.32,2.87,16.22,0.1228,0.0,0.12,0.0,0.94,0.92,5590.0,0.741503,19.4466,38.1453,-31.0,3.9922,1.0,0.0,0.653,1.548,-2.19,-0.15,-0.58,0.31,0.31,0.0,0.0,1.0
2970,12.15,2.08,1.34,2.8,2.41,679.5,16.3,-23.06,3.96,8.5,0.0737,0.0,0.07,0.0,0.74,0.71,4965.0,0.274842,18.9567,40.853,-31.0,5.1363,1.0,0.0,0.411,0.996,-2.16,-0.13,0.06,0.32,0.28,0.0,0.0,1.0
2971,16.11,2.23,1.45,3.24,2.69,443.3,23.4,-21.34,4.24,66.18,0.318,0.0,0.32,0.0,0.98,0.97,5756.0,0.926652,19.4913,43.9108,-29.1,1.6256,1.0,0.0,0.723,1.705,-1.83,-0.12,0.74,0.34,0.37,0.0,0.0,1.0
2972,1.86,1.25,0.94,1.18,1.22,1036.2,1.8,-23.79,2.38,2.03,0.0289,0.0,0.03,0.0,0.78,0.72,4708.0,0.228508,19.4446,42.5907,-32.9,13.3076,1.0,0.0,0.379,0.928,-2.28,-0.16,-1.0,0.29,0.29,0.0,0.0,1.0
2973,3.22,1.47,1.02,1.5,1.48,846.2,3.3,-23.25,2.79,7.68,0.0744,0.0,0.07,0.0,0.93,0.9,5517.0,0.673266,19.2556,44.8382,-32.0,6.4522,1.0,0.0,0.625,1.484,-2.28,-0.16,-0.74,0.29,0.29,0.0,0.0,1.0
2974,1.4,1.15,0.91,1.05,1.1,821.8,1.3,-22.6,2.19,15.04,0.1168,0.0,0.12,0.0,0.94,1.17,5889.0,1.477161,19.5817,47.247,-31.8,5.3398,1.0,0.0,0.906,2.128,-2.29,-0.17,-0.99,0.29,0.3,0.0,0.0,1.0
